fEdep,runTime
426.441,117.425
48.3317,15.7521
37.883,37.4817
796.21,53.2201
460.751,62.5899
106.281,163.21
166.002,25.0147
166.187,31.3982
33.0104,2.2833
144.975,24.7573
63.7771,24.7573
71.6753,2.37749
480.235,2.37749
513.974,31.0662
165.121,63.87
224.886,41.5997
903.309,42.4085
165.795,3.12551
44.8928,3.12551
677.629,350.253
184.914,290.599
165.571,50.8454
199.079,16.4194
165.587,27.7292
86.4205,39.7306
98.4611,209.676
280.971,30.4057
165.752,128.503
165.831,299.507
827.136,16.3171
48.0254,15.3063
600.584,26.1827
166.244,35.62
80.7227,238.124
389.468,261.192
165.821,2.0875
44.4803,129.319
26.2934,279.002
84.5977,218.975
24.1084,38.2456
54.7005,28.5949
1070.23,430.54
1240.78,86.0697
165.819,88.6715
166.063,48.1256
138.635,68.2349
1043.66,36.8613
92.9306,495.141
135.892,436.274
33.2872,79.2667
165.907,121.907
127.497,36.0436
513.953,36.0436
25.5669,36.0436
237.914,113.122
238.142,7.83968
277.255,329.089
77.8892,329.089
19.8827,8.16751
1268.93,8.16751
267.916,160.557
282.549,44.538
1170.88,44.2274
566.227,406.4
194.714,406.4
105.524,406.4
112.42,1.256
315.357,95.4187
165.775,42.529
131.849,19.677
979.107,96.2946
316.582,455.462
33.4279,36.9164
139.651,9.68902
65.1794,47.1445
248.312,261.209
165.748,22.509
64.4335,22.509
48.6832,22.509
118.709,52.7914
67.7001,11.7208
909.972,21.2966
1178.42,104.604
292.784,6.46483
193.034,29.5879
44.846,29.5879
1721.65,13.4945
1056.5,180.356
33.5357,110.503
1115.53,6.22732
166.235,4.90781
175.795,4.90781
33.0785,100.603
361.033,100.603
571.995,31.4546
274.448,92.3859
60.2946,92.3859
84.8902,92.3859
300.853,382.151
140.796,5.92429
1145.97,7.73054
166.109,227.452
221.192,78.9313
138.476,263.04
119.245,263.04
133.608,5.28105
444.869,232.651
428.569,47.9184
400.577,148.102
1304.59,58.0158
436.872,135.607
165.906,108.929
188.264,131.253
165.372,14.5843
145.05,96.2882
165.604,165.786
27.357,120.898
142.508,1.05662
145.21,17.2519
84.0119,213.869
165.194,188.76
197.847,188.76
392.728,64.3519
239.678,72.0569
234.732,39.1298
1143.82,53.869
852.902,44.0867
842.035,43.514
105.236,405.567
110.548,167.667
271.756,84.6558
102.894,142.729
165.546,75.1176
99.3967,19.5019
33.3428,40.4399
65.1802,17.1461
82.0886,46.2297
34.4905,33.1909
287.283,56.5056
649.483,42.261
224.953,42.261
383.924,111.358
82.9647,13.9049
151.683,15.4597
166.06,33.8906
745.317,300.18
595.646,279.968
443.964,105.4
165.922,11.0067
165.806,81.7096
155.263,124.213
115.265,102.601
134.952,164.931
738.542,165.938
166.136,123.517
116.286,93.4584
131.089,10.512
41.9961,100.266
372.536,70.9271
26.2581,70.9271
743.496,314.871
1661.5,89.8885
36.1431,89.8885
63.5447,122.219
183.235,250.099
344.712,50.272
132.675,67.9369
1355.79,17.2637
328.026,17.2637
51.804,17.2637
1669.64,26.4193
67.6839,124.153
862.802,46.7969
1725.75,132.488
340.034,168.598
274.049,168.598
507.296,19.5876
165.712,21.3397
1390.2,7.9264
48.0042,144.903
166.07,245.19
359.509,245.19
84.6626,40.4103
37.7286,177.293
38.8439,71.4089
276.316,18.3247
1026.29,34.7853
225.492,38.7885
493.934,38.7885
19.8003,66.5641
165.957,4.7322
166.021,24.323
165.785,195.222
1259.66,200.693
488.138,142.608
111.172,28.5224
12.7276,90.5058
374.43,15.0981
156.364,121.412
165.72,87.1558
32.9553,162.398
1084.9,79.7987
19.8255,31.5035
24.5834,31.5035
112.278,31.5035
165.767,202.631
33.1671,55.61
166.212,26.0618
37.5575,265.097
87.9518,188.87
998.594,167.538
73.0618,112.646
53.2187,254.514
165.024,66.4098
370.219,17.841
709.137,127.187
249.733,127.187
24.1399,309.748
165.514,21.9676
573.154,322.197
44.8056,205.424
117.774,45.6399
47.0518,20.1219
37.7835,97.6266
1140.53,32.6572
165.39,55.9638
33.0075,67.904
165.716,19.3265
52.8164,191.562
822.465,137.887
459.336,27.2265
132.579,76.2114
319.865,393.073
53.9745,78.4619
122.138,125.484
478.122,8.96869
286.274,182.346
102.604,35.0904
268.996,35.0904
472.462,35.0904
165.922,30.338
538.126,92.2242
87.6018,72.1245
35.3871,54.777
517.921,115.019
90.1883,14.3982
1111.18,92.5522
32.7553,6.21655
434.136,14.494
166.449,90.14
64.9419,279.554
166.662,67.0848
326.175,65.2239
1109.7,154.623
33.5623,80.0856
274.197,83.251
37.4654,54.8342
64.1953,19.5651
29.8247,3.94116
955.496,248.66
166.408,293.568
58.3601,9.0868
105.005,19.4609
382.454,83.8276
152.596,83.8276
114.06,251.977
33.1562,90.4511
172.181,114.623
33.5416,83.7835
166.445,60.7545
32.8421,293.681
71.8885,457.339
43.2789,445.476
97.7092,21.3966
759.425,68.4149
23.688,81.7076
51.3677,97.3071
166.093,144.258
276.946,5.93297
51.3322,182.212
477.444,6.42512
128.888,126.501
1200.65,4.49613
297.171,18.7269
988.078,38.0352
166.201,78.2373
151.548,2.70544
54.4184,298.853
1257.63,31.267
1680.51,264.904
649.71,153.486
165.684,54.2056
84.2973,100.179
201.3,100.179
208.564,63.2387
160.803,225.741
63.0724,200.013
33.7184,29.3746
471.304,229.044
256.822,72.4775
312.276,523.846
533.565,32.4158
127.859,32.4158
33.0701,76.938
104.93,51.1734
29.9359,71.4782
62.9576,2.14271
17.4506,2.14271
33.2219,107.967
165.565,130.309
939.768,105.407
131.546,99.6304
165.442,7.05316
97.9561,271.554
684.808,57.4754
47.835,21.37
747.208,412.16
63.1745,46.2911
257.53,339.349
150.148,339.349
166.242,23.6886
833.056,33.4004
386.28,397.66
165.467,112.875
148.549,172.779
165.661,257.31
98.6173,18.7048
157.416,21.9688
165.758,50.0903
247.948,306.113
1388.49,59.082
905.584,175.038
24.7361,46.7055
256.8,82.4185
70.4161,0.424629
166.118,6.41085
165.853,107.188
16.816,9.30204
105.056,64.7158
33.6209,183.539
1079.99,179.131
138.989,179.131
167.17,72.1438
101.472,72.1438
28.6164,0.792316
33.2773,250.196
64.0528,250.196
105.623,58.2021
180.518,89.8189
754.554,26.6592
213.901,26.6592
205.127,23.1476
33.748,63.9244
106.553,68.9291
166.054,147.378
669.465,147.378
1193.22,189.508
448.721,189.508
36.134,318.939
1312.41,110.439
773.491,92.3244
117.27,542.624
184.528,3.63517
1272.68,125.824
129.354,125.824
165.486,183.352
286.066,280.123
74.1654,280.123
166.049,32.1724
286.664,14.9417
165.779,19.1788
329.353,23.0358
99.1004,95.731
1495.09,213.411
876.128,20.9567
387.155,40.8584
165.404,95.6314
33.1329,395.628
166.062,34.6601
165.72,18.2484
407.864,71.556
117.096,29.3371
337.227,46.6699
869.333,7.15343
684.266,415.663
65.9963,415.663
635.396,260.604
73.8873,30.119
1584.91,311.296
165.949,31.1447
165.925,336.073
166.512,15.6777
165.871,8.05387
427.516,119.34
519.59,226.377
82.4065,226.377
33.4617,7.19273
167.055,40.4763
165.7,42.2299
569.097,154.176
191.948,199.439
1187.45,1.94715
550.08,160.628
53.9969,160.628
520.209,54.9755
165.757,94.3889
540.931,35.7284
166.171,65.7069
109.639,120.53
250.841,120.53
105.009,225.751
165.882,21.9332
187.533,21.9332
29.8045,160.14
1450.65,10.9502
659.54,5.62162
33.4278,78.05
33.218,42.1439
166.159,62.756
163.194,62.756
261.202,13.4913
731.582,177.165
46.1184,1.21116
1656.83,129.899
1008.43,23.3698
165.787,94.111
165.907,253.351
165.892,183.338
110.395,183.338
193.791,161.187
131.33,161.187
104.7,6.71486
271.366,50.4023
20.9472,50.4023
48.7993,162.693
262.943,162.693
75.8653,29.0009
841.949,1.40109
311.342,12.7352
33.0855,21.4241
166.069,23.509
554.507,10.0358
84.6957,110.246
194.643,110.246
107.92,160.096
58.0995,50.1274
859.226,21.4469
121.618,11.7584
46.5843,4.94334
166.281,94.3403
506.465,94.3403
165.865,1.18146
341.302,281.24
67.308,281.24
1312.24,78.4489
37.5656,112.53
99.7038,112.53
877.192,83.6726
165.734,275.662
527.828,19.8435
300.422,440.892
530.653,314.496
201.395,27.1792
58.0228,22.937
125.674,176.252
118.472,74.2343
861.973,127.486
135.546,32.4029
83.0663,81.158
96.5158,58.5325
288.866,28.1804
700.293,30.3481
924.467,24.5663
1052.02,9.15592
22.6154,9.15592
665.963,101.386
1355.39,67.8562
207.056,67.8562
141.957,9.26067
60.0743,123.09
300.86,123.09
863.536,174.145
107.302,211.853
315.538,211.853
165.614,121.156
189.289,121.156
43.4949,114.128
165.494,3.59061
39.0256,3.59061
96.7224,3.59061
231.813,66.8831
731.297,30.4788
115.674,75.9173
165.886,74.2097
165.478,172.137
165.727,26.4031
166.33,37.8819
893.314,147.46
165.853,63.3729
511.061,182.356
37.9738,242.778
145.25,124.6
165.918,111.85
38.0455,15.6202
389.232,329.21
218.751,329.21
239.013,329.21
631.693,207.789
143.394,132.428
840.472,20.9177
1203.28,77.6669
166.697,214.16
165.478,56.3528
1215.53,232.908
687.083,35.1805
453.579,47.6221
1380.5,7.19354
487.791,7.19354
1490.03,421.498
165.653,46.4442
165.252,74.0605
166.259,42.9345
165.773,363.512
81.6613,332.767
1044.01,82.4178
33.9499,79.7069
92.3708,5.05944
549.159,65.3363
756.759,50.7001
861.894,40.673
309.699,659.698
166.232,6.07994
718.926,59.3988
166.13,285.807
166.345,26.3809
61.3671,470.001
799.669,27.432
145.067,27.432
60.3533,177.704
156.646,153.406
166.352,82.2168
58.8285,84.5604
205.836,37.2094
143.982,181.863
120.023,123.997
159.684,330.148
105.974,517.927
856.974,140.11
675.64,215.702
33.0395,336.682
53.7527,267.381
108.275,217.123
160.335,46.8136
262.418,354.111
138.212,3.31297
166.216,88.8861
162.055,2.3692
55.484,24.145
45.1421,24.145
165.764,62.5387
129.899,97.9143
705.474,402.131
1375.32,19.1043
372.018,24.4338
6.36672,110.743
51.8535,110.743
251.354,137.134
88.8191,137.134
209.347,137.134
165.912,13.7173
138.018,135.853
655.871,64.6383
31.7157,228.152
165.58,128.949
32.9298,146.929
91.5821,149.039
61.9439,3.43555
27.1429,3.43555
587.931,3.43555
195.428,88.3831
448.748,14.6315
88.4265,37.8287
37.5925,99.1844
799.562,99.1844
37.0121,99.1844
76.2819,7.38528
382.282,14.8135
102.945,14.8135
166.112,131.008
195.597,100.665
92.6128,100.665
154.233,96.5208
45.2723,623.845
81.5376,7.0902
125.096,159.077
1251.29,148.88
395.446,59.4013
1653.31,173.294
1012.14,106.901
285.981,300.051
536.659,51.7444
165.874,13.1377
93.4539,135.249
117.611,231.903
376.829,228.271
166.45,142.311
140.819,15.0011
165.683,55.3149
165.973,31.6942
165.304,64.5802
99.7955,69.1076
133.782,395.821
195.069,70.3895
226.821,70.3895
