fEdep,runTime
33.0307,372176.281685
128.904,8297245.272981
950.126,8297245.272981
85.9668,11825194.854027
475.872,1088138.855178
155.331,991333.557444
212.905,1068905.630490
253.509,1631796.025721
110.474,2762316.719585
594.073,327440.773183
54.6467,12637504.855644
218.92,714916.299929
62.0691,2283921.417993
84.9,2874621.807716
14.2431,3734664.145373
103.799,14090938.189730
46.8761,418043.161188
182.324,15081384.657240
970.068,12847629.844549
433.888,16122310.989338
191.206,841170.745110
84.9223,1642385.026195
167.721,3564198.467926
35.7401,6407111.201568
334.684,1393623.314111
131.95,1184472.020022
1075.07,3599412.833736
920.646,7027297.798823
135.86,1045576.401272
130.006,12057069.163035
98.8576,4650044.774453
846.65,3790742.597929
164.561,911216.896743
758.896,6881187.251331
138.471,9522950.025535
666.49,11588137.382669
129.536,239709.318210
516.605,1597552.103189
98.9014,3261300.682548
213.233,480676.019251
150.689,2133305.340683
49.9115,4115738.713369
88.314,3976143.843158
169.741,5016282.713221
28.1049,3752374.902970
51.7428,3614960.194326
74.0646,6461422.087927
160.814,684692.383798
119.348,1792665.206994
178.602,1331049.916074
221.616,908248.405682
579.741,1988199.368033
40.6115,1143403.727767
63.6327,399914.161617
223.971,4445668.733283
102.662,3807371.121085
96.8083,1787240.752346
154.557,8486223.462739
129.866,5958843.225577
100.403,1662952.506297
972.477,6022512.008683
144.84,573645.150739
77.3611,9066544.171303
410.135,12731171.593025
239.334,750241.867085
116.594,177047.603895
64.336,2564639.142921
33.085,2323430.196624
121.245,12270962.441202
11.0026,823503.782790
17.7598,3066617.199641
161.1,2666510.280847
79.7424,6079868.914740
86.6615,3612982.413415
138.539,1008266.909698
95.9151,3303261.060647
27.4584,829615.958024
34.0048,4545162.910013
204.599,5081431.168506
160.352,15521246.873214
310.766,5307450.965872
81.4951,4638061.072450
127.313,3677636.978567
474.419,14324343.500381
137.829,1839475.433170
60.1581,5050767.772706
18.9278,2829640.273487
783.552,9372759.519392
165.944,10670778.997398
34.2182,1361254.753987
25.9879,2717647.805217
440.166,13699230.710361
240.043,1925906.175818
49.8431,3041087.592950
104.267,418262.109019
951.571,4200302.241966
184.219,1121351.817529
29.9456,2389698.874110
1034.72,9594986.721006
117.049,2000356.306691
62.0791,1454091.944044
988.759,8460803.934052
288.181,2306819.940762
368.861,4437171.142565
269.54,1303042.527954
51.6049,1901382.094963
3.75351,6246542.077032
49.7641,403892.837194
29.0137,1451688.527463
31.2757,7236474.950056
931.648,3205157.251501
741.491,4056858.884723
848.844,607137.228484
296.293,4344876.083544
448.924,10550446.775948
445.349,2060211.267880
19.3371,7509328.429601
63.5471,109398.719583
251.836,610417.494466
29.8906,2173558.370523
66.4117,18003789.301038
260.095,4920262.702344
60.8543,13578181.073525
627.539,1943091.692601
192.77,816653.763215
19.6954,4378036.676978
55.234,7088341.407922
33.7468,228847.741810
14.537,11475654.414765
120.754,4972721.161855
195.558,2206717.162359
171.348,1215519.608774
52.3907,3079868.419747
164.785,14386142.323382
94.1112,2689914.830528
70.0983,2689914.830528
345.837,455034.332128
16.2979,2174858.466522
91.4963,440512.642764
1061.32,726548.551153
133.894,4136031.355215
145.167,380264.740634
110.525,6583209.810107
93.6036,3225593.215630
39.8484,2805099.997168
75.0066,8279687.487603
367.962,3320506.968818
47.7652,4621426.109582
151.167,1042099.050044
904.701,1721810.897103
1177.16,792606.476351
299.229,335219.622493
743.245,8322014.036601
18.6348,745646.518270
217.957,2314635.780099
32.7706,6847236.105160
1110.48,419343.835421
919.256,2746837.411643
919.672,1604941.936321
140.696,4562881.005564
241.025,247905.297501
887.673,2634682.951790
126.852,1061471.117361
539.168,1467937.956765
153.856,2373052.163715
125.72,236376.679014
295.705,837824.598835
283.517,4847974.674755
144.657,2502431.166132
168.789,19455359.613120
102.119,2647802.097733
57.2995,7932575.273117
112.722,5548495.208022
537.168,7703468.534206
630.102,3687815.646176
11.7193,332006.448056
300.715,908513.015723
29.7743,3914329.844239
104.677,48421.375515
66.5613,7712353.286086
121.735,6120085.242281
262.737,9250730.660935
156.49,1254711.813336
180.981,3153499.328829
151.964,3943661.382992
31.5774,11205777.450590
29.2033,2690179.270126
104.866,2690179.270126
31.7826,4666217.097522
70.7557,6575634.976322
46.4851,644829.036643
953.461,147630.282143
21.621,1314313.035840
426.732,1457197.415635
436.533,1391270.335144
647.504,266643.557101
109.167,252565.929820
135.364,546780.836929
213.771,6288577.995237
1082.97,3698691.716733
55.5598,949277.703003
267.514,1248239.683823
104.379,1020727.797080
96.8925,9948028.018643
113.23,5659265.244234
1173.18,6397288.039606
41.1464,3217278.562059
42.949,1904449.479750
162.01,5626562.381398
36.5254,8618025.642654
85.4191,196321.779042
174.757,1426333.020012
109.203,89222.744069
189.882,4720092.730239
115.988,5065274.703774
