fEdep,runTime
47.182,0.000000
58.6411,405635.819008
79.7362,74056621.040860
39.6879,74056621.040860
83.2111,27700040.000804
66.2342,6186051.294356
26.9682,3443927.284053
57.1668,47642396.389304
8.36735,47642396.389304
241.517,3804401.911847
73.9845,5508895.280164
93.3161,12681254.140523
134.84,23232478.841052
121.175,17961894.923591
9.69979,17961894.923591
55.3707,15419924.388942
317.436,34779144.220205
81.0007,17424361.424585
87.0163,20348986.428145
44.8367,37253043.955110
59.6702,37253043.955110
177.879,50852557.854933
212,48947051.936220
6.67716,48947051.936220
111.599,16690032.199301
242.029,23957032.173799
436.382,65441158.706408
71.3588,65441158.706408
80.206,106819540.006529
618.723,19863783.342758
323.514,35610931.026118
22.2644,29967919.951523
148.321,28874427.549658
159.924,37202768.286463
55.6203,37202768.286463
229.725,8963860.706819
40.741,13395383.576100
196.159,47181123.460036
122.358,10352873.848228
103.076,24116395.767284
91.3392,23117476.604823
23.4984,14736506.465025
181.004,5469668.535557
32.2943,67895654.988816
319.819,67895654.988816
6.29739,75230146.054034
40.0302,858414.832545
8.09135,7314910.833275
142.742,21408283.738269
32.0565,20560088.152806
214.896,13818226.226425
156.217,35637527.418111
205.988,5132363.280018
436.593,5132363.280018
33.4338,35248771.322742
29.6114,4321329.969627
23.3122,4321329.969627
92.0755,55248737.502996
8.12041,55248737.502996
154.087,6081106.994575
276.915,6081106.994575
125.627,32308972.034944
155.5,20735266.462219
29.2472,2966616.892727
222.536,9132471.091029
52.5034,2339689.788941
19.5182,16066719.853492
87.7978,55432178.716589
451.747,5033633.715482
575.464,2812069.646046
224.113,27401167.127016
362.852,12792090.716240
10.2798,12792090.716240
153.026,2523508.753812
34.9038,11368259.533307
52.0184,26651640.933173
254.351,15280129.280123
95.446,31190638.956435
42.4763,13408849.014116
21.0043,28974264.357347
110.428,26469941.280146
239.288,26469941.280146
14.5786,34943344.551523
224.932,50208035.425402
127.922,9435673.408643
16.0547,9435673.408643
161.195,2678911.343948
129.609,2678911.343948
87.7657,16934193.429247
144.181,39860471.501061
149.628,13241522.437605
15.559,8837567.139123
14.0021,8837567.139123
89.6437,19625314.181233
232.729,2317036.756203
47.5364,22258108.243878
95.0172,22258108.243878
18.9963,22258108.243878
70.8681,16728564.888282
21.7443,43312540.716228
174.9,16306137.271877
390.755,40781510.517501
446.946,433598.318961
112.631,26017241.584400
189.213,4209264.647710
11.2654,4209264.647710
53.2614,4209264.647710
90.1957,50781473.553115
95.2215,21420612.647487
137.312,39250216.893542
173.879,9943734.597153
32.1297,7783747.279439
168.63,8214090.479169
31.8017,13215529.220027
37.105,45720849.998977
101.154,59842269.846399
50.3027,11848431.602419
95.4205,34679944.773894
118.011,24694380.005337
138.41,9562003.805320
89.989,9562003.805320
116.072,38368048.168869
24.6299,23648288.106095
99.7699,32573248.583142
8.28349,288195.698513
106.942,34795508.505460
147.414,103150075.581369
82.1837,15085546.577267
167.508,70116509.090831
114.436,31666323.562257
207.992,9613936.347270
405.885,8505854.616623
162.021,60572730.113979
86.4956,33235976.133318
93.492,7110265.746191
192.499,7247211.629655
406.412,14300577.850272
204.748,42655355.961954
23.0817,19465354.514840
31.9055,2575365.547557
247.884,54332070.278491
203.989,11219152.933044
93.6731,39488620.039260
31.0607,10461389.218276
208.133,22036697.347531
15.4858,22036697.347531
89.9683,22036697.347531
17.0216,22879673.326091
66.7853,43073259.109131
61.1314,13879168.136413
103.785,1090912.056217
133.201,9011163.469174
14.0317,9011163.469174
32.2113,9011163.469174
91.3812,9011163.469174
64.5184,11684625.428706
51.7711,11684625.428706
92.8223,6843809.214368
161.566,71123437.364402
100.078,1754428.535517
70.0922,1754428.535517
194.737,38293784.705020
83.942,29330609.334850
175.278,8375382.540026
261.169,2512123.495456
21.4682,55940973.455150
119.801,8858111.422788
97.8754,18689401.653178
41.0056,18689401.653178
73.0602,64873486.998591
36.2302,64873486.998591
32.5018,10090216.878349
193.637,61466674.201231
193.389,992862.794174
262.974,10659151.953518
34.2465,23218496.786828
305.988,50117902.720464
61.9595,50117902.720464
29.5201,41466763.411281
86.6192,7036255.195608
396.951,4987685.814833
120.633,45953267.852785
414.866,11962010.875255
210.347,19634.109508
582.734,4024026.792088
95.3813,21422413.666366
116.42,21422413.666366
132.231,20562098.358871
31.6523,14153200.368870
81.6434,28714430.609890
4.61704,28714430.609890
346.14,16662313.423959
441.639,69861963.154853
65.0518,13535807.282518
21.8251,46885392.380051
165.751,1863622.915149
401.639,24085703.284003
54.258,25133.188902
144.641,8382637.458876
61.6575,6803208.439971
206.551,47458992.342655
30.9503,41845586.669765
210.066,21833442.614871
223.976,13347834.459650
12.1443,13347834.459650
22.5878,19837013.253420
154.047,39988214.926734
89.415,33570606.617481
35.271,33570606.617481
122.881,19473320.063652
203.576,6591975.545236
289.678,23132880.071256
226.542,23132880.071256
274.262,23132880.071256
54.9403,13129115.029246
208.313,7172441.742449
454.14,19488942.229801
32.3917,4706335.270866
108.544,5707583.718419
56.7204,18171555.485098
111.942,73711305.613864
52.3184,73711305.613864
115.743,43858021.479562
231.454,40657131.418307
217.208,14087963.688918
10.4681,14087963.688918
62.6907,14039435.856844
15.3752,14039435.856844
32.361,49547131.893664
31.9822,15871871.824419
183.114,10357966.423011
450.339,9493936.627940
318.206,993177.262783
45.4674,44306797.281425
118.232,90865036.244518
217.697,25400850.204621
214.257,7573972.318770
358.036,12389552.764494
30.7171,853828.277581
72.8736,109318327.800053
74.2367,109318327.800053
40.6902,10016847.487821
124.726,5988532.833746
214.421,12453345.926405
101.443,46856563.201985
117.797,67569735.359074
239.24,102586954.344868
168.582,11198806.605800
216.574,3935505.790250
468.964,3802924.119184
234.691,35488052.988332
41.9507,5137931.310814
43.9554,8617862.290066
154.018,2808302.571030
45.1676,47543863.291241
146.225,15345558.267101
252.114,4632944.876615
33.7655,35119419.739402
344.035,2966278.818142
70.3085,4091910.802463
20.6704,32469867.092484
17.3467,2937637.995216
149.538,6843940.803405
186.02,80005626.945107
147.204,29700382.547125
172.714,37914214.276948
133.356,21216917.575036
464.152,6210275.777201
143.561,20927222.858803
534.957,7556438.240341
31.7188,30064661.864220
32.3988,2161422.100617
53.3385,47849222.765683
347.9,5556843.671114
261.328,8391473.082665
65.2054,22614973.790402
142.741,12327788.428699
37.1948,12327788.428699
208.768,4268728.047900
273.778,13420030.246514
448.088,9919338.315000
41.4082,9177639.651848
58.7126,25313688.033717
2.76289,36610389.950619
27.8553,36610389.950619
45.1565,36610389.950619
217.074,13298449.577031
60.9855,33733231.865264
203.271,33733231.865264
588.443,130061273.767729
149.915,16254890.680485
77.2503,39350990.284288
17.9549,1298394.460181
206.438,24168945.982003
227.307,14733893.915643
242.741,3806218.004418
113.138,2478879.833318
113.549,12628979.252774
105.33,1045807.676224
191.167,103815210.599336
96.9132,6325186.833324
42.1037,45056359.804996
441.536,17769824.260486
42.0372,25124985.511073
29.9327,3123405.929828
69.3278,3123405.929828
34.764,3123405.929828
73.1469,3123405.929828
569.04,7318847.735715
106.3,7318847.735715
111.334,20657886.890913
165.434,35901781.402466
365.674,38146247.915030
27.4355,12758959.249211
37.045,28049408.010641
74.1312,28049408.010641
504.836,21824336.118297
211.631,307598.970854
176.039,3604994.609839
574.728,12131619.540264
58.5096,62822238.177067
53.8655,62822238.177067
57.0522,62822238.177067
29.7333,1197547.757734
97.4537,17534993.683648
171.81,61502398.957809
103.633,29805523.061194
88.9976,22707510.301665
8.96352,34677814.079362
35.2507,34677814.079362
243.837,81745952.440168
83.1287,15032925.700572
24.054,15032925.700572
111.907,21817037.899846
138.887,6171410.331903
279.036,7737882.618767
112.523,18390397.921519
124.391,296078.074258
119.618,296078.074258
124.791,1434128.956746
13.4492,1891751.640486
8.14488,1891751.640486
569.599,5548000.020977
188.046,15146507.871528
86.954,18300962.702294
31.8727,18300962.702294
143.28,18300962.702294
37.8907,18300962.702294
271.118,5577644.229458
6.92084,5577644.229458
45.3719,10439117.721679
147.898,47693401.561257
184.548,13505427.888248
184.755,2955034.560248
58.1959,2955034.560248
17.4414,6586927.755482
73.8971,36680938.552775
202.885,61519607.031594
102.811,509874.340884
62.1766,33852331.968036
175.23,33852331.968036
125.784,33852331.968036
46.4204,33852331.968036
197.217,3367770.922007
90.7452,28020901.690288
217.675,9351454.510153
258.78,2849641.979012
